edad,ciudad,peso,ingresos,genero,nivel_educacional,fumador,actividad_fisica
,Concepción,57.4,340000.0,Femenino,Media,Sí,
69.0,Temuco,76.2,396000.0,Masculino,Media,No,
,Puerto Montt,78.3,357000.0,Masculino,Técnico,No,Moderada
32.0,Iquique,64.6,506000.0,Femenino,Básica,Sí,Moderada
,Rancagua,61.3,554000.0,Masculino,,No,Alta
25.0,Rancagua,57.5,534000.0,Otro,Universitario,Sí,Moderada
78.0,Rancagua,75.7,534000.0,Otro,Media,No,Moderada
38.0,Puerto Montt,57.9,751000.0,Otro,Básica,No,Moderada
56.0,Santiago,103.6,,Otro,Media,Sí,Baja
75.0,La Serena,63.8,618000.0,Otro,Universitario,Sí,Moderada
,Antofagasta,33.6,438000.0,Masculino,Media,Sí,Baja
40.0,sin información,69.5,642000.0,,Básica,Sí,Moderada
28.0,Valparaíso,68.9,431000.0,Otro,Media,No,Baja
28.0,sin información,86.7,562000.0,Otro,Básica,No,Alta
41.0,sin información,74.3,294000.0,Masculino,Universitario,Sí,
70.0,Valparaíso,57.5,525000.0,Femenino,Media,No,Moderada
53.0,Rancagua,65.7,354000.0,Masculino,Básica,No,Baja
57.0,Concepción,74.9,640000.0,Masculino,Universitario,Sí,Alta
41.0,Iquique,37.5,631000.0,Masculino,Media,Sí,Alta
20.0,Valparaíso,90.1,,Masculino,,No,Alta
39.0,Rancagua,57.5,807000.0,Masculino,Básica,Sí,Alta
70.0,Valparaíso,91.3,457000.0,Femenino,Media,Sí,Moderada
19.0,Concepción,75.9,258000.0,Otro,Media,No,Baja
41.0,Rancagua,79.4,383000.0,,Media,No,Alta
61.0,La Serena,87.2,343000.0,Femenino,Universitario,Sí,Moderada
47.0,sin información,78.6,557000.0,Otro,Universitario,No,Alta
55.0,Temuco,80.1,315000.0,Otro,Básica,Sí,Alta
19.0,Talca,67.5,,Otro,Técnico,Sí,
77.0,Puerto Montt,75.6,547000.0,Femenino,Media,No,Alta
38.0,sin información,61.2,521000.0,Femenino,Media,No,Moderada
50.0,Iquique,64.8,498000.0,Otro,Básica,Sí,
29.0,Talca,99.5,,Otro,Media,Sí,Moderada
75.0,Rancagua,57.9,444000.0,Otro,Universitario,Sí,Moderada
39.0,La Serena,72.3,259000.0,Masculino,Universitario,No,Moderada
78.0,Temuco,71.7,440000.0,Masculino,Media,Sí,Alta
61.0,sin información,65.3,570000.0,Masculino,Media,No,Baja
,Santiago,77.7,479000.0,Femenino,Universitario,Sí,Alta
66.0,sin información,78.8,559000.0,Otro,Media,No,Moderada
44.0,sin información,56.1,412000.0,Femenino,Universitario,Sí,Alta
76.0,Valparaíso,71.5,649000.0,Femenino,Técnico,No,Baja
59.0,La Serena,53.8,117000.0,Femenino,Técnico,Sí,Baja
45.0,Valparaíso,81.8,521000.0,Otro,Media,Sí,Alta
,Temuco,72.6,702000.0,Masculino,Media,Sí,Moderada
33.0,Talca,71.2,725000.0,Otro,,Sí,Alta
32.0,sin información,79.9,465000.0,Otro,Universitario,No,
79.0,Temuco,65.9,301000.0,Femenino,Técnico,No,Baja
79.0,Talca,83.7,705000.0,Femenino,Técnico,No,Alta
64.0,Santiago,55.8,492000.0,Femenino,Básica,No,Baja
79.0,Talca,91.2,476000.0,Masculino,Básica,No,Moderada
68.0,Puerto Montt,61.7,366000.0,Masculino,Media,,Moderada
61.0,La Serena,44.6,313000.0,Masculino,Universitario,No,Alta
72.0,Iquique,65.1,585000.0,Otro,Media,No,Alta
69.0,Temuco,63.4,600000.0,Femenino,Técnico,No,Alta
74.0,Temuco,65.0,530000.0,Otro,Media,,Baja
20.0,Antofagasta,73.5,385000.0,Masculino,Media,Sí,Moderada
54.0,Rancagua,,340000.0,Femenino,Técnico,Sí,Moderada
68.0,sin información,67.1,285000.0,Masculino,Técnico,Sí,Baja
24.0,Puerto Montt,59.6,416000.0,Femenino,Técnico,Sí,
38.0,sin información,53.1,,Femenino,Técnico,No,Alta
26.0,Talca,63.0,244000.0,Otro,Básica,No,Baja
56.0,Rancagua,41.7,598000.0,Otro,Universitario,Sí,Moderada
35.0,La Serena,59.1,302000.0,,Universitario,Sí,Moderada
21.0,La Serena,88.7,648000.0,Otro,Técnico,No,Moderada
42.0,Puerto Montt,57.6,559000.0,,Universitario,No,Moderada
77.0,La Serena,79.4,,,Universitario,Sí,Baja
31.0,Antofagasta,51.6,750000.0,Femenino,Universitario,Sí,Moderada
67.0,Temuco,96.6,307000.0,Otro,,Sí,Baja
